Multicipalities,Student households (percent)
Eindhoven,6.9
Etten+Leur,0.4
Geertruidenberg,0.2
Gilze and Rijen,0.4
Goirle,0.5
Grave,0.6
Hairs,0.3
Helmond,0.6
Hertogenbosch 's-,2.7
Heusden,0.4
Hilvarenbeek,0.1
Wages on Sand,0.2
Mill and Sint Hubert,0.2
Nuenen. Gerwen and Nederwetten,0.5
Oirschot,0.2
Oisterwijk,0.4
Eastwood,0.5
Oss,0.6
Rucphen,0.2
Saint Michael's Gestel,0.3
Someren,0.2
Son and Breugel,0.3
Steenbergen,0.2
Waterland,0.4
Tilburg,9.3
Uden,0.3
Valkenswaard,0.3
Veldhoven,0.5
Vught,1
Waalre,0.3
Waalwijk,0.4
Werkendam,0.2
Woensdrecht,0.2
Woudrichem,0.1
Zundert,0.2
Wormerland,0.4
Underbanks,0.2
Landgrave,0.4
Brook,0.3
Beesel,0.2
Bergen (L.),0.3
Brunssum,0.4
Gennep,0.4
Heerlen,1.7
Churchrade,0.6
Maastricht,12
Meerssen,0.6
Mook and Middleman,0.6
Downward Weather,0.1
Nuth,0.4
Roermond,0.8
Shines,0.2
Simple field,0.2
Stone,0.2
Vaals,0.9
Venlo,0.9
Venray,0.4
Voerendaal,0.3
Weert,0.5
Valkenburg on the Geul,0.5
Lelystad,1.2
Horst on the Maas,0.2
Old IJssel region,0.3
Teylingen,0.5
Utrecht Ridge,2.7
East Guelders,0.3
Cogland,0.3
Lansingerland,0.4
Leudal,0.2
Maasgouw,0.2
Eemsmond,0.7
Gemert+Bakel,0.2
Halderberge,0.3
Heeze+Leende,0.5
Laarbeek,0.2
Marne The,0.4
Reusel+De Mierden,0.1
Roerdalen,0.2
Roosendaal,0.6
View+Duiveland,0.3
Aa and Hunze,0.3
Borger+Odoorn,0.5
Cuyk,0.6
Landerd,0.3
Wolden The,0.3
North+Beveland,0.1
Wide Lakes,0.3
Northfield,0.3
Twenterand,0.3
Western Field,0.2
Saint Anthony,0.2
Lingewaard,0.4
Cranendonck,0.2
Steenwijkerland,0.5
Moerdijk,0.2
Real+Susteren,0.3
Lock,0.3
to drimmel,0.2
Bernheze,0.3
Ferwerderadiel,0.2
Alphen+Chaam,0.3
Bergeijk,0.3
Bladel,0.2
Gulpen+Wittem,0.4
Tynaarlo,0.4
Middle+Drenthe,0.5
Overbetuwe,0.6
Court of Twente,0.3
Neder+Betuwe,0.3
Rijssen+Holten,0.3
Geldrop+Mierlo,0.7
Olst+Wijhe,0.4
Dinkelland,0.3
Westland,0.2
Middle+Delfland,1.1
Berkelland,0.3
Bronckhorst,0.2
Sittard+Geleen,1.2
Kaag,0.3
Dantumadiel,0.4
Southplas,0.4
Peel and Maas,0.3
Oldambt,0.8
Blackwaterland,0.3
Southwest Friesland,0.6
Bodegraven+Reeuwijk,0.4
Eijsden+Margraten,0.6
Stichtse Vecht,0.8
Menameradiel,0.5
Dutch Crown,0.2
Leidschendam+Voorburg,0.9
Goeree+Overflakkee,0.3
Pijnacker+Nootdorp,1.3
Mill Ward,0.2
Nissewaard,0.6
Krimpenerwaard,1.1
Frisian Marren The,0.3
Gooi Lakes,0.8
Mountain and Valley,1.3
Meierijstad,0.3
Montferland,0.3
Menterwolde,0.5
